company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Clarity Consulting,4-8 Yrs,Primary Responsibilities:  Analyze Large Volume Of Data And Define Clear Strategy In Analytical Work,Senior Data Analytics,"Data Analytics, Sas, Ssis",https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-4-to-8-years-270818002293?src=jobsearchDesk&sid=15376475157970&xp=50&px=1,Gurgaon,Sapna Chaturvedi,25 days ago,Not Disclosed

company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Sun Life India Service Centre Pvt. Ltd.,4-6 Yrs,N/A,Senior Analyst  -  Data Analytics,"Sas, Coding, Data Mining, Business Intelligence, Analytical",https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-6-years-250918900949?src=jobsearchDesk&sid=15378827379446&xp=1&px=1,Gurgaon,N/A,Just Now,Not Disclosed
Anri Solutions Hr Services Pvt Ltd,1-6 Yrs,N/A,Data Analytics - R/ R-Studio/ Python Programmer For Noida,"Data Analytics, R, Statistical Modelling, Predictive Modelling, Python",https://www.naukri.com/job-listings-Data-Analytics-R-R-studio-Python-Programmer-for-Noida-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Noida-1-to-6-years-211217000404?src=jobsearchDesk&sid=15378827379446&xp=2&px=1,Noida,N/A,Just Now,"5,00,000 - 11,00,000 P.A. Other"
Not Mentioned,0-3 Yrs,Candidates May Have The Opportunity To Work Out Of Their Home So This Job May Be Ideal For Someone Who,Data Analytics Consultant: Virtual,"Logistic Regression, Statistical Modeling, Sas Sql, Time Series, Excel",https://www.naukri.com/job-listings-Data-Analytics-Consultant-Virtual-Not-Mentioned-Delhi-NCR-Jaipur-Jodhpur-0-to-3-years-240918008671?src=jobsearchDesk&sid=15378827379446&xp=3&px=1,"Delhi NCR, Jaipur, Jodhpur",N/A,1 day ago,"1,50,000 - 3,50,000 P.A. Salary Commensurate With Exper..."
Nacre Outsourcing,6-10 Yrs,Should Be Able To Understand Business Needs And Apply Analytical Concepts To Generate Actionable,Big Data Analytics Role - Insurance Domain - Bfs,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R",https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-240918900537?src=jobsearchDesk&sid=15378827379446&xp=4&px=1,Gurgaon,N/A,1 day ago,Not Disclosed
Sun Life India Service Centre Pvt. Ltd.,4-7 Yrs,N/A,Senior Analyst - Data Analytics (Tableau & Sas Visual Analytics),"Data Mining, Sas Enterprise Guide, Data Analytics, Business Intelligence",https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-tableau-SAS-Visual-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-7-years-210918008881?src=jobsearchDesk&sid=15378827379446&xp=5&px=1,Gurgaon,N/A,4 days ago,"5,50,000 - 8,50,000 P.A."
Taazaa Inc.,3-5 Yrs,"Manage End To End Analytics Projects Including Business Requirement Analysis, Define Scope, Solution","Python Developer-Big Data Analytics, Taazaa Inc., Sector 63, Noida","Python Developer, Big Data, Analytics, Hadoop, Sql, Excel, R, Json, Spss",https://www.naukri.com/job-listings-Python-Developer-big-Data-Analytics-Taazaa-Inc-Sector-63-Noida-Taazaa-Inc-Delhi-Noida-3-to-5-years-190918008688?src=jobsearchDesk&sid=15378827379446&xp=6&px=1,"Delhi, Noida",N/A,6 days ago,Not Disclosed
Yoda Learning Solutions,3-7 Yrs,Should Be Capable To Deliver Training Modules To Both L1 & L2 Type Of Audiences. ;Should Have A Good,Data Analytics Trainer For Corporate Training Institute,"Alteryx, Corporate Training, Data Analytics, Business Intelligence",https://www.naukri.com/job-listings-Data-Analytics-Trainer-for-Corporate-Training-Institute-Yoda-Learning-Solutions-Delhi-NCR-3-to-7-years-190918007875?src=jobsearchDesk&sid=15378827379446&xp=7&px=1,Delhi NCR,Rishabh Bhandari,6 days ago,"6,00,000 - 10,00,000 P.A."
Clarity Consulting,4-8 Yrs,"Must Have Experience : Sas,Ssis,Vba Tools,Tableau,R,Python,",Senior Data Analytics,"Tableau, R, Data Analytics, Sas, Vba",https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-Sector-24-Gurgaon-4-to-8-years-080918000358?src=jobsearchDesk&sid=15378827379446&xp=8&px=1,Gurgaon(Sector-24 Gurgaon),Gargi Verma,4 days ago,"7,00,000 - 13,00,000 P.A."
Dimensions Hrd Consultants,6-11 Yrs,"Incumbent Must Have Operational Understanding Includes Classical Regression, Statistical Methods Like",Head - Data Science & Analytics - Financial Services,"Data Science, Analytics, Data Mining, Machine Learning, Factor Analysis",https://www.naukri.com/job-listings-Head-Data-Science-Analytics-Financial-Services-Dimensions-HRD-Consultants-Noida-6-to-11-years-180918900697?src=jobsearchDesk&sid=15378827379446&xp=9&px=1,Noida,N/A,6 days ago,Not Disclosed
Destination Hr,10-20 Yrs,N/A,Vice President (V) - Data Analytics,"Data Analytics, Data Modeling, Data Mining, Data Extraction, Senior Analyst",https://www.naukri.com/job-listings-Vice-President-V-Data-Analytics-Destination-HR-Mumbai-Delhi-NCR-Bengaluru-10-to-20-years-200918000679?src=jobsearchDesk&sid=15378827379446&xp=10&px=1,"Mumbai, Delhi NCR, Bengaluru",Veer Raghuwanshi,5 days ago,Not Disclosed
Live Connections,2-6 Yrs,N/A,Immediate Job Opening For Data Analytics @ Mnc,"Data Analytics, Sql, R, Python, Machine Learning",https://www.naukri.com/job-listings-Immediate-Opening-for-Data-Analytics-MNC-Live-connections-Bengaluru-Hyderabad-Mumbai-Delhi-NCR-2-to-6-years-210918007989?src=jobsearchDesk&sid=15378827379446&xp=11&px=1,"Bengaluru, Hyderabad, Mumbai, Delhi NCR",N/A,4 days ago,"1,25,000 - 6,25,000 P.A."
Huquo Consulting Pvt. Ltd,5-10 Yrs,Extensive Experience Using Big Data Technologies (4-12 Years) To Analyze And Solve Business Problems,Manager/Senior Manager - Big Data Analytics - Banking Domain,"Sql, Hive, Spark, Big Data Analytics, Tableau, Data Analysis",https://www.naukri.com/job-listings-Manager-senior-Manager-Big-Data-Analytics-Banking-Domain-Huquo-Consulting-Pvt-Ltd-Gurgaon-5-to-10-years-140918900744?src=jobsearchDesk&sid=15378827379446&xp=12&px=1,Gurgaon,Rukhsar Jawed,7 days ago,Not Disclosed
Cargill Business Services India Private Limited,5-10 Yrs,"5+ Years Practical Experience With Sas, Etl, Data Processing And Data Analytics;5 10 Years Of",Manager - Data & Analytics,"Data Analytics, Data Analysis, Training Needs, Business Generation, Sas",https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-5-to-10-years-100918900400?src=jobsearchDesk&sid=15378827379446&xp=13&px=1,Gurgaon,N/A,14 days ago,Not Disclosed
Nacre Outsourcing,6-10 Yrs,Should Be Able To Understand Business Needs And Apply Analytical Concepts To Generate Actionable,Big Data Analytics Role - Insurance Domain - Bfs,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R",https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-100918900010?src=jobsearchDesk&sid=15378827379446&xp=14&px=1,Gurgaon,N/A,14 days ago,Not Disclosed
Huquo,3-8 Yrs,"Strong Sas At Least 3 Years Of Experience In Sas, Vba, And Sql (Mandatory);- Should Have Analytical",Senior Business Analyst - Sas Data - Analytics Firm,"Sql, Business Analysis, Data Analytics, Data Mining, Sas, Vba, Regression",https://www.naukri.com/job-listings-Senior-Business-Analyst-SAS-Data-Analytics-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-8-years-230818900271?src=jobsearchDesk&sid=15378827379446&xp=15&px=1,"Delhi NCR, Gurgaon",HuQuo Consulting,27 days ago,Not Disclosed
Baby Destination,2-6 Yrs,"At Least 2-3 Years Of Work Experience In Data Analysis, Business Intelligence, And Analytics Reporting",Senior Data Research Analyst,"Data Analysis, Data Research, Data Analytics, R, Product Sales, Statistical",https://www.naukri.com/job-listings-Senior-Data-Research-Analyst-Baby-Destination-Delhi-East-of-Kailash-2-to-6-years-240918901561?src=jobsearchDesk&sid=15378827379446&xp=16&px=1,Delhi(East of Kailash),N/A,Today,Not Disclosed
Fiserv India Pvt Ltd,2-5 Yrs,N/A,"Risk Assurance ,  Supervisor","Supervisor, Auditing, Monitoring, Analytical, Operations, Vulnerability",https://www.naukri.com/job-listings-Risk-Assurance-Supervisor-Fiserv-India-Pvt-Ltd-Noida-2-to-5-years-250918900928?src=jobsearchDesk&sid=15378827379446&xp=17&px=1,Noida,N/A,Just Now,Not Disclosed
Neufvasi Digital Solutions Private Limited,1-3 Yrs,We Are Hiring Account Managers With Bachelors/Masters Engineering Degree From A Premier Institute For,Account Manager - Iit/ Nit/ Bits,"Account Management, Client Satisfaction, Energy Efficiency",https://www.naukri.com/job-listings-Account-Manager-IIT-NIT-BITS-Neufvasi-Digital-Solutions-Private-Limited-Mumbai-Gurgaon-1-to-3-years-240918900261?src=jobsearchDesk&sid=15378827379446&xp=18&px=1,"Mumbai, Gurgaon",Bharat Parmar,Today,Not Disclosed
Confidential,5-10 Yrs,They Should Work Closely With The Senior Management And The Technical Teams In Creating Detailed Scope,Lead - Data Analytics - Forensic & Fraud,"Predictive Analytics, Sas, Data Analytics, Data Quality, Data Analysis",https://www.naukri.com/job-listings-Lead-Data-Analytics-Forensic-Fraud-Confidential-Mumbai-Bengaluru-Chennai-Kolkata-Delhi-5-to-10-years-300718007837?src=jobsearchDesk&sid=15378827379446&xp=19&px=1,"Mumbai, Bengaluru, Chennai, Kolkata, Delhi",Amit Arora,55 days ago,Not Disclosed
Cargill Business Services India Private Limited,4-6 Yrs,"4+ Years Practical Experience With Sas, Etl, Data Processing And Data Analytics;3 5 Years Of Experience",Manager - Data & Analytics,"Data Analytics, Data Analysis, Analytics, Big Data Analyst, Sas, Etl",https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-4-to-6-years-240818900671?src=jobsearchDesk&sid=15378827379446&xp=20&px=1,Gurgaon,N/A,32 days ago,Not Disclosed
Eygds (India) Llp,5-8 Yrs,O	Strong Interpersonal And Good Written & Oral Communication Skills;In Computer Science With A,Data Analytics- Ey Gds,"Data Analytics, Sql, Sql Server, Python, R, Sas, Analytics, Data Mining",https://www.naukri.com/job-listings-Data-Analytics-EY-GDS-EYGDS-INDIA-LLP-Gurgaon-5-to-8-years-240818000151?src=jobsearchDesk&sid=15378827379446&xp=21&px=1,Gurgaon,Sunny Singh,32 days ago,Not Disclosed
Eygbs (India) Llp,6-9 Yrs,Experience In Managing Multiple Concurrent Initiatives From Multiple Regions Or Clients;SelfDriven And,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, Business Analytics, Excel, Spss, Sas",https://www.naukri.com/job-listings-Assurance-Data-Analytics-Senior-EYGBS-INDIA-LLP-Gurgaon-6-to-9-years-140818900285?src=jobsearchDesk&sid=15378827379446&xp=22&px=1,Gurgaon,N/A,36 days ago,Not Disclosed
Nupeak It Solutions,6-10 Yrs,"Typically Requires A Minimum Of 57 Years Experience Analyzing Data And/Or Teaching, Including At Least",Sr. Sas Data Analytics Consultant,"Sas Stat, Text Mining, Base Sas, Data Analysis, Statistics, Analytics",https://www.naukri.com/job-listings-Sr-SAS-Data-Analytics-Consultant-Nupeak-IT-Solutions-Mumbai-Delhi-Jaipur-6-to-10-years-100718003640?src=jobsearchDesk&sid=15378827379446&xp=23&px=1,"Mumbai, Delhi, Jaipur",HR,29 days ago,Not Disclosed
Hr Synergy,8-11 Yrs,Flexible To Work In Different Time Zones And Travel As Required;- Proficient In Using Statistical,Assistant Manager - Data Analytics - Big4,"Sql, Excel, Javascript, Xml, Sas, Spss, Data Analytics, People Skills",https://www.naukri.com/job-listings-Assistant-Manager-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Kerala-8-to-11-years-290818901989?src=jobsearchDesk&sid=15378827379446&xp=24&px=1,"Gurgaon, Kerala",N/A,26 days ago,Not Disclosed
Huquo,2-5 Yrs,2-5 Years Of Total Experience Of Data Analytics / Data Insights Generation;- Experience In Credit Card,Business Analyst/Senior Business Analyst - Data Analytics- Bfsi Domain,"Business Analysis, Excel, Data Analytics, Sas, Vba, Problem Solving",https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-Domain-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-2-to-5-years-230818900443?src=jobsearchDesk&sid=15378827379446&xp=25&px=1,"Delhi NCR, Bengaluru, Gurgaon",HuQuo Consulting,27 days ago,Not Disclosed
Sla Consultants India,0-5 Yrs,N/A,Data Analytics / Data Science / Analyst - Bi / Sas / R / Python / Rpa,"Data Analyst, Reporting Analyst, Sas, Statistics, Sas Programmer",https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-BI-SAS-R-Python-RPA-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-300818000391?src=jobsearchDesk&sid=15378827379446&xp=26&px=1,"Delhi NCR, Gurgaon, Noida",Bhanu,26 days ago,"2,00,000 - 4,25,000 P.A."
Sla Consultants India,0-5 Yrs,N/A,Data Analytics / Data Science / Analyst - Sas / R / Python / Rpa / Bi,"Data Analyst, Reporting Analyst, Sas, Statistics, Sas Programmer",https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-SAS-R-Python-RPA-BI-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-060918000358?src=jobsearchDesk&sid=15378827379446&xp=27&px=1,"Delhi NCR, Gurgaon, Noida",Bhanu,19 days ago,"2,00,000 - 4,25,000 P.A."
Sla Consultants India,0-5 Yrs,N/A,Sas Reporting Trainee - Data Analytics Group ( Graduate Fresher ),"Data Analyst, Reporting Analyst, Sas, Statistics, Sas Programmer",https://www.naukri.com/job-listings-SAS-Reporting-Trainee-DATA-Analytics-Group-Graduate-Fresher-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-040918000119?src=jobsearchDesk&sid=15378827379446&xp=28&px=1,"Delhi NCR, Gurgaon, Noida",Bhanu,21 days ago,"2,00,000 - 4,25,000 P.A."
Naukri Premium - Employer Services,13-23 Yrs,Bachelors Degree With At Least 10 Years Of Experience In It Auditing And 5+ Years Of Experience In Data,Sr. Director - It Audit And Data Analytics,"Cisa, Auditing, Information Security, It Audit, Internal Audit",https://www.naukri.com/job-listings-Sr-Director-IT-Audit-and-Data-Analytics-Naukri-Employer-Services-Delhi-NCR-13-to-23-years-060918001992?src=jobsearchDesk&sid=15378827379446&xp=29&px=1,Delhi NCR,N/A,5 days ago,Not Disclosed
Protiviti,3-4 Yrs,"Working Jointly With Our Solution Architects And Business Consultants, The Senior Consultant Will Be",Consultant - Data Analytics - Machine Learning,"Sql, Business Intelligence, R, Business Development, Data Analytics",https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Delhi-NCR-Bengaluru-3-to-4-years-270718901171?src=jobsearchDesk&sid=15378827379446&xp=30&px=1,"Delhi NCR, Bengaluru",N/A,57 days ago,Not Disclosed
Hr Synergy,5-10 Yrs,Experience In Managing Multiple Concurrent Initiatives From Multiple Regions Or Clients;SelfDriven And,Senior Associate Data Analytics - Big4,"Auditing, Data Analytics, Process Improvement, Analytics, Sql, Ssis, Ssrs",https://www.naukri.com/job-listings-Senior-Associate-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Trivandrum-5-to-10-years-140818900615?src=jobsearchDesk&sid=15378827379446&xp=31&px=1,"Gurgaon, Trivandrum",N/A,33 days ago,Not Disclosed
Fsck System Services  Private Limited,2-7 Yrs,"Experience With One Or More General Purpose Programming Languages Including But Not Limited To: Java,",Senior Engineer - Data Analytics/ Machine Learning,"Hadoop, Hive, Nosql, Spark, Cassandra, Neo4J, Artificial Intelligence",https://www.naukri.com/job-listings-Senior-Engineer-Data-Analytics-Machine-Learning-Fsck-System-Services-Private-Limited-Chennai-Gurgaon-2-to-7-years-290818003443?src=jobsearchDesk&sid=15378827379446&xp=32&px=1,"Chennai, Gurgaon",Senthil Kumar,27 days ago,Not Disclosed
Peoplestrong Hr Services Pvt. Ltd.,10-16 Yrs,Excellent Knowledge And 10+ Years Of Practical Experience On Data Analysis Methodologies;Should Have,Function Leader - Data Analytics,"Data Analysis, Data Quality, Data Mining, Data Governance, Data Analytics",https://www.naukri.com/job-listings-Function-Leader-Data-Analytics-PeopleStrong-HR-Services-Pvt-Ltd-Gurgaon-10-to-16-years-280718002444?src=jobsearchDesk&sid=15378827379446&xp=33&px=1,Gurgaon,TALENT ACQUISITION TEAM,59 days ago,"17,00,000 - 30,00,000 P.A."
Next Step Services Private Limited,3-5 Yrs,"HandsOn Experience In Model Building - Logistic, Liner Regression, Time Series & Behavior",Data Analytics/Data Miner Us Healthcare Domain/ Uk Shift,"Advanced Excel, Data Analysis, Time Series, Data Mining, Sas",https://www.naukri.com/job-listings-Data-Analytics-data-Miner-US-Healthcare-Domain-UK-Shift-Next-Step-Services-Private-Limited-Gurgaon-3-to-5-years-210818007692?src=jobsearchDesk&sid=15378827379446&xp=34&px=1,Gurgaon,Megha Nagari,33 days ago,Not Disclosed
Parishram Resources Pvt. Ltd.,4-8 Yrs,"Experience: 4  8 Years;Technical Skill Sets: Experience In Sql, R, Sas Added Advantage;Office Timings:",Data Analytics,"Sql, Sas, Data Analytics, R, Reporting, Data Collection",https://www.naukri.com/job-listings-Data-Analytics-Parishram-Resources-Pvt-Ltd-Delhi-4-to-8-years-120118006238?src=jobsearchDesk&sid=15378827379446&xp=35&px=1,Delhi,N/A,29 days ago,Not Disclosed
Huquo Consulting Pvt. Ltd.,2-5 Yrs,2-5 Years Of Total Experience Of Data Analytics / Data Insights Generation;- Experience In Credit Card,Business Analyst/Senior Business Analyst - Data Analytics - Bfsi,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, Sas,",https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-HuQuo-Consulting-Pvt-Ltd-Delhi-NCR-2-to-5-years-210818001201?src=jobsearchDesk&sid=15378827379446&xp=36&px=1,Delhi NCR,Manoj,35 days ago,Not Disclosed
Toran Global,13-15 Yrs,Team Player And Good At Stakeholder Management;- Any Certification In Analytics Will Be An Added,Program Manager - Analytics - Automobile Firm,"Project Management, Program Management, Predictive Analytics",https://www.naukri.com/job-listings-Program-Manager-Analytics-Automobile-Firm-Toran-Global-Gurgaon-13-to-15-years-240918006293?src=jobsearchDesk&sid=15378827379446&xp=37&px=1,Gurgaon,N/A,1 day ago,Not Disclosed
Toran Global,8-12 Yrs,Team Player And Good At Stakeholder Management;- Any Certification In Analytics Will Be An Added,Program Manager - Analytics,"Project Management, Program Management, Predictive Analytics",https://www.naukri.com/job-listings-Program-Manager-Analytics-Toran-Global-Gurgaon-8-to-12-years-240918006289?src=jobsearchDesk&sid=15378827379446&xp=38&px=1,Gurgaon,N/A,1 day ago,Not Disclosed
Huquo,7-12 Yrs,Desired 2-4 Years Of Relevant Experience In Retail/Media Domain;- Must Have 2-4 Years Of Hands On,Senior Manager - Retail Analytics - Analytics Firm,"Sas, Logistic Regression, Chaid, R, Data Analytics, Anova, Excel",https://www.naukri.com/job-listings-Senior-Manager-Retail-Analytics-Analytics-Firm-HuQuo-Delhi-NCR-Bengaluru-7-to-12-years-220918900158?src=jobsearchDesk&sid=15378827379446&xp=39&px=1,"Delhi NCR, Bengaluru",Ranjeet Singh,Today,Not Disclosed
Indian Institute Of Technology Delhi,10-15 Yrs,N/A,Professor - Data Analytics And Data Sciences,N/A,https://www.naukri.com/job-listings-Professor-Data-Analytics-and-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-10-to-15-years-260318900475?src=jobsearchDesk&sid=15378827379446&xp=40&px=1,Delhi,N/A,183 days ago,Pay Scale: Pay Band : Rs.37400-67000(Minimum Pay Of Rs....
Indian Institute Of Technology Delhi,3-5 Yrs,N/A,Assistant Professor (Grade I) - Data Analytics And Data Sciences,N/A,https://www.naukri.com/job-listings-Assistant-Professor-Grade-I-Data-Analytics-And-Data-Sciences-Indian-Institute-of-Technology-Delhi-Delhi-3-to-5-years-150518900629?src=jobsearchDesk&sid=15378827379446&xp=41&px=1,Delhi,N/A,133 days ago,Pay Level 12 (Rs.101500-167400) With Minimum Pay Of Rs....
Clarity Consulting,4-8 Yrs,Primary Responsibilities:  Analyze Large Volume Of Data And Define Clear Strategy In Analytical Work,Senior Data Analytics,"Data Analytics, Sas, Ssis",https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-4-to-8-years-270818002293?src=jobsearchDesk&sid=15378827379446&xp=42&px=1,Gurgaon,Sapna Chaturvedi,27 days ago,Not Disclosed
Mnc Company,0-1 Yrs,N/A,Trainee - Big Data  / Hadoop,"Big Data, Big Data Analytics, Big Data Mining",https://www.naukri.com/job-listings-Trainee-Big-Data-Hadoop-MNC-Company-Delhi-NCR-Mumbai-Bengaluru-Hyderabad-0-to-1-years-240918005183?src=jobsearchDesk&sid=15378827379446&xp=43&px=1,"Delhi NCR, Mumbai, Bengaluru, Hyderabad",N/A,1 day ago,"4,00,000 - 7,50,000 P.A."
Amanzi Technologies Pvt Ltd,5-10 Yrs,N/A,"Opening For Sr. Data Scientist With Us Product Based Company, Noida","Predictive Analytics, Machine Learning, Statistics, Statistical Modelling",https://www.naukri.com/job-listings-Opening-for-Sr-Data-Scientist-with-US-Product-Based-Company-Noida-Amanzi-Technologies-Pvt-Ltd-Delhi-NCR-5-to-10-years-240918000852?src=jobsearchDesk&sid=15378827379446&xp=44&px=1,Delhi NCR,Amanzi Technologies,1 day ago,"10,00,000 - 20,00,000 P.A."
Huquo,10-12 Yrs,This Position Must Be Able To Advise And Collaborate With Business Users And Subject Matter Experts To,Avp - Cognitive Technologies Architect - Nlp/Machine/Deep Learning,"Deep Learning, Natural Language Processing, Nlp, Machine Learning, Java",https://www.naukri.com/job-listings-AVP-Cognitive-Technologies-Architect-Nlp-machine-deep-Learning-HuQuo-Bengaluru-Gurgaon-10-to-12-years-210918900952?src=jobsearchDesk&sid=15378827379446&xp=45&px=1,"Bengaluru, Gurgaon",Ranjeet Singh,1 day ago,Not Disclosed
Shahi Exports Pvt Ltd.,15-20 Yrs,N/A,Senior Business Analyst With 15 Yrs. Exp. - Shahi Exoprts Pvt. Ltd.,"Marketing, Market Research, Sales, Opportunity Identification",https://www.naukri.com/job-listings-Senior-Business-Analyst-with-15-Yrs-Exp-Shahi-Exoprts-Pvt-Ltd-Shahi-Exports-Pvt-Ltd-Faridabad-15-to-20-years-010918004777?src=jobsearchDesk&sid=15378827379446&xp=46&px=1,Faridabad,Promila Rawat,1 day ago,"50,00,000 - 60,00,000 P.A."
One Mobikwik Systems Pvt.Ltd,3-6 Yrs,* Must Have At Least 3+ Years Of Experience In A Similar Role;* Specialized Knowledge: HandsOn,Operations Manager- Mobikwik,"Sales, Operations Management, Operation Team, Data Analysis",https://www.naukri.com/job-listings-Operations-Manager-Mobikwik-One-Mobikwik-Systems-Pvt-Ltd-Gurgaon-3-to-6-years-210918005130?src=jobsearchDesk&sid=15378827379446&xp=47&px=1,Gurgaon,Arjun Anand,4 days ago,"4,00,000 - 6,50,000 P.A."
Triuniontech,10-18 Yrs,Successful History Of Delivering CustomerDriven Products Designed To Create A Great Customer Experience,Director/Sr.Director Of Product Management  - Data Analytics-Bi,"Product Management, Roadmap, Go - To - Market Strategy",https://www.naukri.com/job-listings-Director-sr-director-of-Product-Management-Data-Analytics-bi-TriunionTech-Chennai-Noida-10-to-18-years-170218000879?src=jobsearchDesk&sid=15378827379446&xp=48&px=1,"Chennai, Noida",N/A,56 days ago,Not Disclosed
Next Step Services Private Limited,9-13 Yrs,Candidates Should Have Banking And Insurance,Data Analytics - Gurgaon,"Predictive Modeling, Statistical Modeling, Machine Learning, Analytics",https://www.naukri.com/job-listings-Data-Analytics-Gurgaon-Next-Step-Services-Private-Limited-Gurgaon-9-to-13-years-080818006796?src=jobsearchDesk&sid=15378827379446&xp=49&px=1,Gurgaon,Megha Nagari,33 days ago,Not Disclosed
Colangels India Pvt. Ltd,2-6 Yrs,"Hands On Experience In Advance Machine Learning Techniques/Problems - Regression, Forecasting,",Data Scientist & Analytics - Machine Learning/R/Python - Startup,"Product Marketing, Machine Learning, Python, R, Marketing Operations",https://www.naukri.com/job-listings-Data-Scientist-Analytics-Machine-Learning-r-python-Startup-Colangels-India-Pvt-Ltd-Gurgaon-Gurugram-2-to-6-years-140918900197?src=jobsearchDesk&sid=15378827379446&xp=50&px=1,"Gurgaon, Gurugram",N/A,8 days ago,Not Disclosed
